,,Trade union density rate (%)
Reference area,Time,Value
Austria,2017,26.65
Canada,2017,28.44
China,2017,44.25
France,2017,9
Germany,2017,16.68
India,2017,19.8
Italy,2017,33.23
Japan,2017,17.15
"Korea, Republic of",2017,12.44
Netherlands,2017,16.8
Singapore,2017,22.16
Sweden,2017,60.78
Switzerland,2017,14.86
United Kingdom,2017,23.14
United States,2017,10.31
