MIC,Code,Description
8.4.2|Plastics|Sub-Industry,,
8.5|Construction Materials|Industry,8.5,Construction Materials
8.5.1|Construction Materials|Sub-Industry,,
9|Energy|Sector,,
9.1|Oil & Gas|Industry,9.1,Oil & Gas
9.1.1|Production & Extraction|Sub-Industry,,
9.1.2|Refining & Marketing|Sub-Industry,,
9.1.3|Equipment & Services|Sub-Industry,,
0|Miscellaneous Sector|Sector,,
0.0|Miscellaneous Industry|Industry,0,Miscellaneous 
0.0.0|Miscellaneous Sub-Industry|Sub-Industry,,
