Country,Average Wage
Austria,58189.13469
Canada,56005.61714
France,49312.58148
Germany,56040.21615
Italy,40767.20381
Japan,39711.42974
South Korea,42747.10946
Netherlands,60922.60466
Sweden,48951.10267
United Kingdom,49979.25568
United States,74737.84535
Switzerland,68957
