Country,Hours Worked
Austria,1442.453757
Canada,1684.9984
France,1490.331744
Germany,1349.3
Italy,1668.5
Japan,1607
South Korea,1915
Netherlands,1416.542666
Sweden,1444.285085
United Kingdom,1497.375463
United States,1791
